ngay,ngan_hang,ma,tong_luot_lien_ket,thanh_cong,that_bai,sr_phan_tram
2026-05-21 00:00:00,VPBank,VPB,4990,4740,250,95.0
2026-05-21 00:00:00,Sacombank,STB,3820,3557,263,93.1
2026-05-21 00:00:00,TPBank,TPB,3280,3217,63,98.1
2026-05-21 00:00:00,Agribank,AGR,2570,2271,299,88.4
2026-05-22 00:00:00,Vietcombank,VCB,12380,12016,364,97.1
2026-05-22 00:00:00,Techcombank,TCB,9150,8922,228,97.5
2026-05-22 00:00:00,MB Bank,MBB,8810,8641,169,98.1
2026-05-22 00:00:00,VietinBank,CTG,7600,7125,475,93.8
2026-05-22 00:00:00,BIDV,BIDV,6760,6160,600,91.1
2026-05-22 00:00:00,ACB,ACB,5400,5238,162,97.0
2026-05-22 00:00:00,VPBank,VPB,4920,4674,246,95.0
2026-05-22 00:00:00,Sacombank,STB,3790,3523,267,92.9
2026-05-22 00:00:00,TPBank,TPB,3250,3186,64,98.0
2026-05-22 00:00:00,Agribank,AGR,2540,2245,295,88.4
2026-05-23 00:00:00,Vietcombank,VCB,12270,11902,368,97.0
2026-05-23 00:00:00,Techcombank,TCB,9060,8834,226,97.5
2026-05-23 00:00:00,MB Bank,MBB,8700,8530,170,98.0
2026-05-23 00:00:00,VietinBank,CTG,7490,7037,453,93.9
2026-05-23 00:00:00,BIDV,BIDV,6640,6104,536,91.9
2026-05-23 00:00:00,ACB,ACB,5290,5131,159,97.0
2026-05-23 00:00:00,VPBank,VPB,4810,4570,240,95.0
2026-05-23 00:00:00,Sacombank,STB,3680,3433,247,93.3
2026-05-23 00:00:00,TPBank,TPB,3140,3079,61,98.1
2026-05-23 00:00:00,Agribank,AGR,2450,2165,285,88.4
2026-05-24 00:00:00,Vietcombank,VCB,11290,10951,339,97.0
2026-05-24 00:00:00,Techcombank,TCB,8390,8180,210,97.5
2026-05-24 00:00:00,MB Bank,MBB,8010,7850,160,98.0
2026-05-24 00:00:00,VietinBank,CTG,6840,6429,411,94.0
2026-05-24 00:00:00,BIDV,BIDV,6060,5547,513,91.5
2026-05-24 00:00:00,ACB,ACB,4790,4646,144,97.0
2026-05-24 00:00:00,VPBank,VPB,4310,4094,216,95.0
2026-05-24 00:00:00,Sacombank,STB,3350,3116,234,93.0
2026-05-24 00:00:00,TPBank,TPB,2870,2814,56,98.0
2026-05-24 00:00:00,Agribank,AGR,2210,1950,260,88.2
2026-05-25 00:00:00,Vietcombank,VCB,11410,11068,342,97.0
2026-05-25 00:00:00,Techcombank,TCB,8510,8297,213,97.5
2026-05-25 00:00:00,MB Bank,MBB,8130,7974,156,98.1
2026-05-25 00:00:00,VietinBank,CTG,6980,6561,419,94.0
2026-05-25 00:00:00,BIDV,BIDV,6200,5704,496,92.0
2026-05-25 00:00:00,ACB,ACB,4910,4763,147,97.0
2026-05-25 00:00:00,VPBank,VPB,4430,4209,221,95.0
2026-05-25 00:00:00,Sacombank,STB,3460,3218,242,93.0
2026-05-25 00:00:00,TPBank,TPB,2980,2921,59,98.0
2026-05-25 00:00:00,Agribank,AGR,2320,2049,271,88.3
2026-05-26 00:00:00,Vietcombank,VCB,12290,11921,369,97.0
2026-05-26 00:00:00,Techcombank,TCB,9070,8844,226,97.5
2026-05-26 00:00:00,MB Bank,MBB,8710,8536,174,98.0
2026-05-26 00:00:00,VietinBank,CTG,7500,7050,450,94.0
2026-05-26 00:00:00,BIDV,BIDV,6660,6087,573,91.4
2026-05-26 00:00:00,ACB,ACB,5300,5141,159,97.0
2026-05-26 00:00:00,VPBank,VPB,4830,4589,241,95.0
2026-05-26 00:00:00,Sacombank,STB,3700,3441,259,93.0
2026-05-26 00:00:00,TPBank,TPB,3160,3097,63,98.0
2026-05-26 00:00:00,Agribank,AGR,2460,2173,287,88.3
2026-05-27 00:00:00,Vietcombank,VCB,12420,12047,373,97.0
2026-05-27 00:00:00,Techcombank,TCB,9190,8960,230,97.5
2026-05-27 00:00:00,MB Bank,MBB,8850,8673,177,98.0
2026-05-27 00:00:00,VietinBank,CTG,7630,7177,453,94.1
2026-05-27 00:00:00,BIDV,BIDV,6790,6246,544,92.0
2026-05-27 00:00:00,ACB,ACB,5440,5276,164,97.0
2026-05-27 00:00:00,VPBank,VPB,4960,4712,248,95.0
2026-05-27 00:00:00,Sacombank,STB,3810,3543,267,93.0
2026-05-27 00:00:00,TPBank,TPB,3260,3194,66,98.0
2026-05-27 00:00:00,Agribank,AGR,2560,2262,298,88.4
2026-05-28 00:00:00,Vietcombank,VCB,12510,12135,375,97.0
2026-05-28 00:00:00,Techcombank,TCB,9250,8919,331,96.4
2026-05-28 00:00:00,MB Bank,MBB,8920,8745,175,98.0
2026-05-28 00:00:00,VietinBank,CTG,7680,7228,452,94.1
2026-05-28 00:00:00,BIDV,BIDV,6840,6298,542,92.1
2026-05-28 00:00:00,ACB,ACB,5480,5315,165,97.0
2026-05-28 00:00:00,VPBank,VPB,5010,4760,250,95.0
2026-05-28 00:00:00,Sacombank,STB,3840,3570,270,92.9
2026-05-28 00:00:00,TPBank,TPB,3290,3224,66,98.0
2026-05-28 00:00:00,Agribank,AGR,2580,2280,300,88.4
2026-05-29 00:00:00,Vietcombank,VCB,12380,12008,372,97.0
2026-05-29 00:00:00,Techcombank,TCB,9130,8902,228,97.5
2026-05-29 00:00:00,MB Bank,MBB,8810,8636,174,98.0
2026-05-29 00:00:00,VietinBank,CTG,7590,7135,455,94.0
2026-05-29 00:00:00,BIDV,BIDV,6750,6225,525,92.2
2026-05-29 00:00:00,ACB,ACB,5390,5228,162,97.0
2026-05-29 00:00:00,VPBank,VPB,4910,4665,245,95.0
2026-05-29 00:00:00,Sacombank,STB,3800,3534,266,93.0
2026-05-29 00:00:00,TPBank,TPB,3250,3185,65,98.0
2026-05-29 00:00:00,Agribank,AGR,2540,2244,296,88.3
2026-05-30 00:00:00,Vietcombank,VCB,12460,12086,374,97.0
2026-05-30 00:00:00,Techcombank,TCB,9200,8970,230,97.5
2026-05-30 00:00:00,MB Bank,MBB,8880,8703,177,98.0
2026-05-30 00:00:00,VietinBank,CTG,7650,7198,452,94.1
2026-05-30 00:00:00,BIDV,BIDV,6810,6265,545,92.0
2026-05-30 00:00:00,ACB,ACB,5460,5296,164,97.0
2026-05-30 00:00:00,VPBank,VPB,4980,4731,249,95.0
2026-05-30 00:00:00,Sacombank,STB,3820,3552,268,93.0
2026-05-30 00:00:00,TPBank,TPB,3270,3205,65,98.0
2026-05-30 00:00:00,Agribank,AGR,2570,2271,299,88.4
2026-05-31 00:00:00,Vietcombank,VCB,11290,10951,339,97.0
2026-05-31 00:00:00,Techcombank,TCB,8390,8180,210,97.5
2026-05-31 00:00:00,MB Bank,MBB,8010,7850,160,98.0
2026-05-31 00:00:00,VietinBank,CTG,6840,6429,411,94.0
2026-05-31 00:00:00,BIDV,BIDV,6060,5547,513,91.5
2026-05-31 00:00:00,ACB,ACB,4790,4646,144,97.0
2026-05-31 00:00:00,VPBank,VPB,4310,4094,216,95.0
2026-05-31 00:00:00,Sacombank,STB,3350,3116,234,93.0
2026-05-31 00:00:00,TPBank,TPB,2870,2814,56,98.0
2026-05-31 00:00:00,Agribank,AGR,2210,1950,260,88.2
2026-06-01 00:00:00,Vietcombank,VCB,12340,11970,370,97.0
2026-06-01 00:00:00,Techcombank,TCB,9110,8882,228,97.5
2026-06-01 00:00:00,MB Bank,MBB,8770,8595,175,98.0
2026-06-01 00:00:00,VietinBank,CTG,7610,7154,456,94.0
2026-06-01 00:00:00,BIDV,BIDV,6780,6238,542,92.0
2026-06-01 00:00:00,ACB,ACB,5430,5267,163,97.0
2026-06-01 00:00:00,VPBank,VPB,4940,4693,247,95.0
2026-06-01 00:00:00,Sacombank,STB,3790,3524,266,93.0
2026-06-01 00:00:00,TPBank,TPB,3240,3176,64,98.0
2026-06-01 00:00:00,Agribank,AGR,2550,2253,297,88.4
2026-06-02 00:00:00,Vietcombank,VCB,11300,10961,339,97.0
2026-06-02 00:00:00,Techcombank,TCB,8370,8161,209,97.5
2026-06-02 00:00:00,MB Bank,MBB,8000,7840,160,98.0
2026-06-02 00:00:00,VietinBank,CTG,6830,6419,411,94.0
2026-06-02 00:00:00,BIDV,BIDV,6050,5566,484,92.0
2026-06-02 00:00:00,ACB,ACB,4770,4627,143,97.0
2026-06-02 00:00:00,VPBank,VPB,4280,4066,214,95.0
2026-06-02 00:00:00,Sacombank,STB,3340,3106,234,93.0
2026-06-02 00:00:00,TPBank,TPB,2850,2793,57,98.0
2026-06-02 00:00:00,Agribank,AGR,2190,1936,254,88.4
2026-06-03 00:00:00,Vietcombank,VCB,11430,11087,343,97.0
2026-06-03 00:00:00,Techcombank,TCB,8490,8278,212,97.5
2026-06-03 00:00:00,MB Bank,MBB,8120,7958,162,98.0
2026-06-03 00:00:00,VietinBank,CTG,6970,6552,418,94.0
2026-06-03 00:00:00,BIDV,BIDV,6200,5704,496,92.0
2026-06-03 00:00:00,ACB,ACB,4910,4763,147,97.0
2026-06-03 00:00:00,VPBank,VPB,4430,4208,222,95.0
2026-06-03 00:00:00,Sacombank,STB,3460,3218,242,93.0
2026-06-03 00:00:00,TPBank,TPB,2980,2920,60,98.0
2026-06-03 00:00:00,Agribank,AGR,2320,2050,270,88.4
2026-06-04 00:00:00,Vietcombank,VCB,12310,11940,370,97.0
2026-06-04 00:00:00,Techcombank,TCB,9080,8853,227,97.5
2026-06-04 00:00:00,MB Bank,MBB,8720,8546,174,98.0
2026-06-04 00:00:00,VietinBank,CTG,7510,7060,450,94.0
2026-06-04 00:00:00,BIDV,BIDV,6680,6042,638,90.5
2026-06-04 00:00:00,ACB,ACB,5310,5151,159,97.0
2026-06-04 00:00:00,VPBank,VPB,4840,4598,242,95.0
2026-06-04 00:00:00,Sacombank,STB,3710,3450,260,93.0
2026-06-04 00:00:00,TPBank,TPB,3160,3097,63,98.0
2026-06-04 00:00:00,Agribank,AGR,2460,2174,286,88.4
2026-06-05 00:00:00,Vietcombank,VCB,12430,12057,373,97.0
2026-06-05 00:00:00,Techcombank,TCB,9190,8960,230,97.5
2026-06-05 00:00:00,MB Bank,MBB,8840,8664,176,98.0
2026-06-05 00:00:00,VietinBank,CTG,7630,7177,453,94.1
2026-06-05 00:00:00,BIDV,BIDV,6800,6256,544,92.0
2026-06-05 00:00:00,ACB,ACB,5440,5277,163,97.0
2026-06-05 00:00:00,VPBank,VPB,4960,4712,248,95.0
2026-06-05 00:00:00,Sacombank,STB,3820,3553,267,93.0
2026-06-05 00:00:00,TPBank,TPB,3270,3205,65,98.0
2026-06-05 00:00:00,Agribank,AGR,2570,2271,299,88.4
2026-06-06 00:00:00,Vietcombank,VCB,12510,12135,375,97.0
2026-06-06 00:00:00,Techcombank,TCB,9260,9028,232,97.5
2026-06-06 00:00:00,MB Bank,MBB,8930,8752,178,98.0
2026-06-06 00:00:00,VietinBank,CTG,7690,7238,452,94.1
2026-06-06 00:00:00,BIDV,BIDV,6870,6321,549,92.0
2026-06-06 00:00:00,ACB,ACB,5480,5316,164,97.0
2026-06-06 00:00:00,VPBank,VPB,5010,4760,250,95.0
2026-06-06 00:00:00,Sacombank,STB,3850,3580,270,93.0
2026-06-06 00:00:00,TPBank,TPB,3290,3224,66,98.0
2026-06-06 00:00:00,Agribank,AGR,2590,2289,301,88.4
2026-06-07 00:00:00,Vietcombank,VCB,12400,12028,372,97.0
2026-06-07 00:00:00,Techcombank,TCB,9160,8931,229,97.5
2026-06-07 00:00:00,MB Bank,MBB,8830,8653,177,98.0
2026-06-07 00:00:00,VietinBank,CTG,7640,7187,453,94.1
2026-06-07 00:00:00,BIDV,BIDV,6820,6275,545,92.0
2026-06-07 00:00:00,ACB,ACB,5450,5287,163,97.0
2026-06-07 00:00:00,VPBank,VPB,4970,4722,248,95.0
2026-06-07 00:00:00,Sacombank,STB,3830,3562,268,93.0
2026-06-07 00:00:00,TPBank,TPB,3270,3205,65,98.0
2026-06-07 00:00:00,Agribank,AGR,2560,2262,298,88.4
2026-06-08 00:00:00,Vietcombank,VCB,12330,11960,370,97.0
2026-06-08 00:00:00,Techcombank,TCB,9100,8873,227,97.5
2026-06-08 00:00:00,MB Bank,MBB,8750,8576,174,98.0
2026-06-08 00:00:00,VietinBank,CTG,7570,7116,454,94.0
2026-06-08 00:00:00,BIDV,BIDV,6740,6201,539,92.0
2026-06-08 00:00:00,ACB,ACB,5390,5228,162,97.0
2026-06-08 00:00:00,VPBank,VPB,4900,4655,245,95.0
2026-06-08 00:00:00,Sacombank,STB,3790,3524,266,93.0
2026-06-08 00:00:00,TPBank,TPB,3230,3165,65,98.0
2026-06-08 00:00:00,Agribank,AGR,2540,2243,297,88.3
2026-06-09 00:00:00,Vietcombank,VCB,11260,10922,338,97.0
2026-06-09 00:00:00,Techcombank,TCB,8350,8141,209,97.5
2026-06-09 00:00:00,MB Bank,MBB,7980,7820,160,98.0
2026-06-09 00:00:00,VietinBank,CTG,6810,6401,409,94.0
2026-06-09 00:00:00,BIDV,BIDV,6030,5548,482,92.0
2026-06-09 00:00:00,ACB,ACB,4750,4608,142,97.0
2026-06-09 00:00:00,VPBank,VPB,4260,4047,213,95.0
2026-06-09 00:00:00,Sacombank,STB,3330,3097,233,93.0
2026-06-09 00:00:00,TPBank,TPB,2840,2783,57,98.0
2026-06-09 00:00:00,Agribank,AGR,2170,1916,254,88.3
2026-06-10 00:00:00,Vietcombank,VCB,11390,11048,342,97.0
2026-06-10 00:00:00,Techcombank,TCB,8470,8258,212,97.5
2026-06-10 00:00:00,MB Bank,MBB,8100,7938,162,98.0
2026-06-10 00:00:00,VietinBank,CTG,6960,6542,418,94.0
2026-06-10 00:00:00,BIDV,BIDV,6180,5686,494,92.0
2026-06-10 00:00:00,ACB,ACB,4880,4734,146,97.0
2026-06-10 00:00:00,VPBank,VPB,4400,4180,220,95.0
2026-06-10 00:00:00,Sacombank,STB,3430,3189,241,93.0
2026-06-10 00:00:00,TPBank,TPB,2960,2901,59,98.0
2026-06-10 00:00:00,Agribank,AGR,2300,2033,267,88.4
2026-06-11 00:00:00,Vietcombank,VCB,12230,11863,367,97.0
2026-06-11 00:00:00,Techcombank,TCB,9020,8795,225,97.5
2026-06-11 00:00:00,MB Bank,MBB,8640,8467,173,98.0
2026-06-11 00:00:00,VietinBank,CTG,7440,6994,446,94.0
2026-06-11 00:00:00,BIDV,BIDV,6610,6081,529,92.0
2026-06-11 00:00:00,ACB,ACB,5240,5083,157,97.0
2026-06-11 00:00:00,VPBank,VPB,4750,4513,237,95.0
2026-06-11 00:00:00,Sacombank,STB,3660,3404,256,93.0
2026-06-11 00:00:00,TPBank,TPB,3100,3038,62,98.0
2026-06-11 00:00:00,Agribank,AGR,2420,2139,281,88.4
2026-06-12 00:00:00,Vietcombank,VCB,12350,11980,370,97.0
2026-06-12 00:00:00,Techcombank,TCB,9120,8892,228,97.5
2026-06-12 00:00:00,MB Bank,MBB,8760,8585,175,98.0
2026-06-12 00:00:00,VietinBank,CTG,7560,7106,454,94.0
2026-06-12 00:00:00,BIDV,BIDV,6730,6192,538,92.0
2026-06-12 00:00:00,ACB,ACB,5360,5199,161,97.0
2026-06-12 00:00:00,VPBank,VPB,4870,4627,243,95.0
2026-06-12 00:00:00,Sacombank,STB,3770,3506,264,93.0
2026-06-12 00:00:00,TPBank,TPB,3210,3146,64,98.0
2026-06-12 00:00:00,Agribank,AGR,2500,2209,291,88.4
2026-06-13 00:00:00,Vietcombank,VCB,12460,12086,374,97.0
2026-06-13 00:00:00,Techcombank,TCB,9210,8980,230,97.5
2026-06-13 00:00:00,MB Bank,MBB,8860,8683,177,98.0
2026-06-13 00:00:00,VietinBank,CTG,7650,7182,468,93.9
2026-06-13 00:00:00,BIDV,BIDV,6830,6284,546,92.0
2026-06-13 00:00:00,ACB,ACB,5460,5296,164,97.0
2026-06-13 00:00:00,VPBank,VPB,4970,4722,248,95.0
2026-06-13 00:00:00,Sacombank,STB,3830,3561,269,93.0
2026-06-13 00:00:00,TPBank,TPB,3270,3205,65,98.0
2026-06-13 00:00:00,Agribank,AGR,2560,2163,397,84.5
2026-06-14 00:00:00,Vietcombank,VCB,12520,12144,376,97.0
2026-06-14 00:00:00,Techcombank,TCB,9270,9038,232,97.5
2026-06-14 00:00:00,MB Bank,MBB,8940,8762,178,98.0
2026-06-14 00:00:00,VietinBank,CTG,7700,7244,456,94.1
2026-06-14 00:00:00,BIDV,BIDV,6880,6330,550,92.0
2026-06-14 00:00:00,ACB,ACB,5490,5325,165,97.0
2026-06-14 00:00:00,VPBank,VPB,5020,4769,251,95.0
2026-06-14 00:00:00,Sacombank,STB,3850,3580,270,93.0
2026-06-14 00:00:00,TPBank,TPB,3290,3225,65,98.0
2026-06-14 00:00:00,Agribank,AGR,2590,2290,300,88.4
2026-06-15 00:00:00,Vietcombank,VCB,11320,10991,329,97.1
2026-06-15 00:00:00,Techcombank,TCB,8410,8197,213,97.5
2026-06-15 00:00:00,MB Bank,MBB,8050,7930,120,98.5
2026-06-15 00:00:00,VietinBank,CTG,6870,6459,411,94.0
2026-06-15 00:00:00,BIDV,BIDV,6090,5583,507,91.7
2026-06-15 00:00:00,ACB,ACB,4820,4672,148,96.9
2026-06-15 00:00:00,VPBank,VPB,4330,4114,216,95.0
2026-06-15 00:00:00,Sacombank,STB,3360,3087,273,91.9
2026-06-15 00:00:00,TPBank,TPB,2880,2822,58,97.9
2026-06-15 00:00:00,Agribank,AGR,2240,1980,260,88.4
